"filename", "language", "JSON", "XML", "ASP.NET Razor", "C#", "PostCSS", "JavaScript", "comment", "blank", "total"
"d:\Diplom\BlazorApp\BlazorApp\Components\Layout\NavMenu.razor.css", "PostCSS", 0, 0, 0, 0, 102, 0, 0, 23, 125
"d:\Diplom\BlazorApp\BlazorApp\Components\LectureEditor.razor", "ASP.NET Razor", 0, 0, 128, 0, 0, 0, 0, 15, 143
"d:\Diplom\BlazorApp\BlazorApp\Components\LectureTable.razor", "ASP.NET Razor", 0, 0, 52, 0, 0, 0, 0, 4, 56
"d:\Diplom\BlazorApp\BlazorApp\Components\Pages\Chat.razor", "ASP.NET Razor", 0, 0, 115, 0, 0, 0, 0, 19, 134
"d:\Diplom\BlazorApp\BlazorApp\Components\Pages\Chats.razor", "ASP.NET Razor", 0, 0, 88, 0, 0, 0, 0, 12, 100
"d:\Diplom\BlazorApp\BlazorApp\Components\Pages\Error.razor", "ASP.NET Razor", 0, 0, 29, 0, 0, 0, 0, 8, 37
"d:\Diplom\BlazorApp\BlazorApp\Components\Pages\Home.razor", "ASP.NET Razor", 0, 0, 92, 0, 0, 0, 0, 8, 100
"d:\Diplom\BlazorApp\BlazorApp\Components\Pages\Home.razor.css", "PostCSS", 0, 0, 0, 0, 88, 0, 0, 17, 105
"d:\Diplom\BlazorApp\BlazorApp\Components\Pages\Recommended.razor", "ASP.NET Razor", 0, 0, 96, 0, 0, 0, 4, 14, 114
"d:\Diplom\BlazorApp\BlazorApp\Components\Routes.razor", "ASP.NET Razor", 0, 0, 10, 0, 0, 0, 0, 1, 11
"d:\Diplom\BlazorApp\BlazorApp\Components\_Imports.razor", "ASP.NET Razor", 0, 0, 13, 0, 0, 0, 0, 0, 13
"d:\Diplom\BlazorApp\BlazorApp\Controllers\ChatApiController.cs", "C#", 0, 0, 0, 54, 0, 0, 0, 13, 67
"d:\Diplom\BlazorApp\BlazorApp\Controllers\CultureController.cs", "C#", 0, 0, 0, 27, 0, 0, 2, 4, 33
"d:\Diplom\BlazorApp\BlazorApp\Data\ApplicationDbContext.cs", "C#", 0, 0, 0, 50, 0, 0, 0, 8, 58
"d:\Diplom\BlazorApp\BlazorApp\Data\ApplicationUser.cs", "C#", 0, 0, 0, 7, 0, 0, 0, 3, 10
"d:\Diplom\BlazorApp\BlazorApp\Data\DbInitializer.cs", "C#", 0, 0, 0, 21, 0, 0, 0, 2, 23
